Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
Grad12	C3n.2r		R	4.631	4.799	504	500
Grad12	C3n.3n	(Sidufjall)	N	4.799	4.896	505	500
Grad12	C3n.3r		R	4.896	4.997	506	500
Grad12	C3n.4n	(Thvera)	N	4.997	5.235	507	500
Grad12	C3r	(Gilbert lower part)	R	5.235	6.033	508	500
Grad12	C3A			6.033	7.140	509	509
Grad12	C3An.1n		N	6.033	6.252	510	509
Grad12	C3An.1r		R	6.252	6.436	511	509
Grad12	C3An.2n		N	6.436	6.733	512	509
Grad12	C3Ar		R	6.733	7.140	513	509
Grad12	C3B			7.140	7.528	514	514
Grad12	C3Bn		N	7.140	7.212	515	514
Grad12	C3Br.1r		R	7.212	7.251	516	514
Grad12	C3Br.1n		N	7.251	7.285	517	514
Grad12	C3Br.2r		R	7.285	7.454	518	514
Grad12	C3Br.2n		N	7.454	7.489	519	514
Grad12	C3Br.3r		R	7.489	7.528	520	514
Grad12	C4			7.528	8.771	521	521
Grad12	C4n.1n		N	7.528	7.642	522	521
Grad12	C4n.1r		R	7.642	7.695	523	521
Grad12	C4n.2n		N	7.695	8.108	524	521
Grad12	C4r.1r		R	8.108	8.254	525	521
Grad12	C4r.1n		N	8.254	8.300	526	521
Grad12	C4r.2r		R	8.300	8.771	527	521
Grad12	C4A			8.771	9.786	528	528
Grad12	C4An		N	8.771	9.105	529	528
Grad12	C4Ar.1r		R	9.105	9.311	530	528
Grad12	C4Ar.1n		N	9.311	9.426	531	528
Grad12	C4Ar.2r		R	9.426	9.647	532	528
Grad12	C4Ar.2n		N	9.647	9.721	533	528
Grad12	C4Ar.3r		R	9.721	9.786	534	528
Grad12	C5			9.786	12.049	535	535
Grad12	C5n.1n		N	9.786	9.937	536	535
Grad12	C5n.1r		R	9.937	9.984	537	535
Grad12	C5n.2n		N	9.984	11.056	538	535
Grad12	C5r.1r		R	11.056	11.146	539	535
Grad12	C5r.1n		N	11.146	11.188	540	535
Grad12	C5r.2r		R	11.188	11.592	541	535
Grad12	C5r.2n		N	11.592	11.657	542	535
Grad12	C5r.3r		R	11.657	12.049	543	535
Grad12	C5A			12.049	13.032	544	544
Grad12	C5An.1n		N	12.049	12.174	545	544
Grad12	C5An.1r		R	12.174	12.272	546	544
Grad12	C5An.2n		N	12.272	12.474	547	544
Grad12	C5Ar.1r		R	12.474	12.735	548	544
Grad12	C5Ar.1n		N	12.735	12.770	549	544
